who,lang,text
person.TMV,nno,11
person.TMV,nob,844
person.TNI,nno,1
person.TNI,nob,146
person.TOAD,nob,1
person.TOBLIN,nob,9
person.TOBLUN,nno,1
person.TOBLUN,nob,128
person.TOCH,nob,2
person.TOE,nno,128
person.TOHA,nno,3
person.TOHA,nob,144
person.TOHB,nob,5
person.TOMH,nob,3
person.TONB,nob,186
person.TOOA,nob,25
person.TORSVE,nob,20
person.TORVAM,nno,1
person.TORVAM,nob,46
person.TOSTO,nno,234
person.TOVMAD,nno,12
person.TOVT,nob,11
person.TOWA,nno,1
person.TOWA,nob,353
person.TRI,nno,2
person.TRI,nob,985
person.TRISUN,nno,1
person.TRISUN,nob,25
person.TROH,nob,228
person.TRUB,nno,8
person.TRUW,nob,62
person.TRV,nob,25
person.TSG,nno,3
person.TSG,nob,395
person.TSN,nno,67
person.TSN,nob,2
person.TSØ,nno,1
person.TSØ,nob,190
person.TTS,nob,323
person.TUK,nob,135
person.TUMO,nno,4
person.TUMO,nob,330
person.TVE,nob,3
person.TVER,nno,33
person.TWT,nno,2
person.TWT,nob,205
person.TWT_184918101,nob,1
person.TWT_74305097,nob,1
person.UAB,nno,2
person.UAB,nob,386
person.UIL,nob,59
person.UNH,nob,1
person.VIHE,nob,328
person.VLA,nob,10
person.VP,nob,2
person.VWS,nob,104
person.WN,nob,304
person.YSTMAT,nob,16
person.ZA,nob,9
person.ÅL,nno,1
person.ÅL,nob,191
person.ÅSJ,nno,2
person.ÅSJ,nob,412
person.ØYVH,nob,32
person.ØYVH_811429109,nob,1
ØYVH,nno,22
ØYVH,nob,250
