id,source
ParlaMint-NO_2008-11-04,s081104
ParlaMint-NO_2008-10-01-lower,o081001
ParlaMint-NO_2008-11-03-lower,o081103
ParlaMint-NO_2009-04-23,s090423
ParlaMint-NO_2009-05-06,s090506
ParlaMint-NO_2009-05-29,s090529
ParlaMint-NO_2009-06-17,s090617
ParlaMint-NO_2008-12-02-lower,o081202
ParlaMint-NO_2008-11-13,s081113
ParlaMint-NO_2009-05-18,s090518
ParlaMint-NO_2009-06-11,s090611
ParlaMint-NO_2009-05-12-upper,l090512
ParlaMint-NO_2009-05-14,s090514
ParlaMint-NO_2008-11-14,s081114
ParlaMint-NO_2008-10-22,s081022
ParlaMint-NO_2008-10-23,s081023
ParlaMint-NO_2008-11-28,s081128
ParlaMint-NO_2009-01-26-lower,o090126
ParlaMint-NO_2009-02-25,s090225
ParlaMint-NO_2008-12-04-upper,l081204
ParlaMint-NO_2008-10-15,s081015
ParlaMint-NO_2009-06-03,s090603
ParlaMint-NO_2008-12-04-lower,o081204
ParlaMint-NO_2008-12-08,s081208
ParlaMint-NO_2009-02-26-lower,o090226
ParlaMint-NO_2009-05-15-lower,o090515
ParlaMint-NO_2009-02-12,s090212
ParlaMint-NO_2008-11-21,s081121
ParlaMint-NO_2008-12-18-upper,l081218
ParlaMint-NO_2009-05-19-lower,o090519
ParlaMint-NO_2008-10-02,s081002
ParlaMint-NO_2009-06-11-lower,o090611
ParlaMint-NO_2009-02-11,s090211
ParlaMint-NO_2009-06-03-lower,o090603
ParlaMint-NO_2009-03-17,s090317
ParlaMint-NO_2009-02-10-upper,l090210
ParlaMint-NO_2009-05-07,s090507
ParlaMint-NO_2008-11-26,s081126
ParlaMint-NO_2008-11-25-upper,l081125
ParlaMint-NO_2008-11-20,s081120
ParlaMint-NO_2009-03-13,s090313
ParlaMint-NO_2009-06-16-upper,l090616
ParlaMint-NO_2009-05-15,s090515
ParlaMint-NO_2009-03-16-lower,o090316
ParlaMint-NO_2009-03-18,s090318
ParlaMint-NO_2008-11-27,s081127
ParlaMint-NO_2009-06-04,s090604
ParlaMint-NO_2009-04-28,s090428
ParlaMint-NO_2009-01-13,s090113
ParlaMint-NO_2008-10-01,s081001
ParlaMint-NO_2009-05-27,s090527
ParlaMint-NO_2009-03-23-lower,o090323
ParlaMint-NO_2008-12-03-lower,o081203
ParlaMint-NO_2009-02-12-lower,o090212
ParlaMint-NO_2009-03-24-lower,o090324
ParlaMint-NO_2009-01-20,s090120
ParlaMint-NO_2009-02-03,s090203
ParlaMint-NO_2009-02-19-upper,l090219
ParlaMint-NO_2009-05-04,s090504
ParlaMint-NO_2009-06-10-upper,l090610
ParlaMint-NO_2008-12-04,s081204
ParlaMint-NO_2008-11-03,s081103
ParlaMint-NO_2009-03-11,s090311
ParlaMint-NO_2009-05-13,s090513
ParlaMint-NO_2008-12-11,s081211
ParlaMint-NO_2009-05-19,s090519
ParlaMint-NO_2009-04-27-lower,o090427
ParlaMint-NO_2009-06-08,s090608
ParlaMint-NO_2009-03-24,s090324
ParlaMint-NO_2008-12-09-lower,o081209
ParlaMint-NO_2008-12-15-lower,o081215
ParlaMint-NO_2009-06-16,s090616
ParlaMint-NO_2009-05-28,s090528
ParlaMint-NO_2009-06-19-lower,o090619
ParlaMint-NO_2009-02-19,s090219
ParlaMint-NO_2009-06-15-lower,o090615
ParlaMint-NO_2009-01-20-lower,o090120
ParlaMint-NO_2009-01-26,s090126
ParlaMint-NO_2009-01-07,s090107
ParlaMint-NO_2009-06-12,s090612
ParlaMint-NO_2009-06-02,s090602
ParlaMint-NO_2009-03-23,s090323
ParlaMint-NO_2008-11-12,s081112
ParlaMint-NO_2009-03-25,s090325
ParlaMint-NO_2009-03-17-lower,o090317
ParlaMint-NO_2009-06-18,s090618
ParlaMint-NO_2009-03-24-upper,l090324
ParlaMint-NO_2009-04-23-lower,o090423
ParlaMint-NO_2009-06-04-upper,l090604
ParlaMint-NO_2009-05-12-lower,o090512
ParlaMint-NO_2009-04-01,s090401
ParlaMint-NO_2009-01-22,s090122
ParlaMint-NO_2009-03-30,s090330
ParlaMint-NO_2008-12-09,s081209
ParlaMint-NO_2009-06-05,s090605
ParlaMint-NO_2008-10-14-lower,o081014
ParlaMint-NO_2008-10-01-upper,l081001
ParlaMint-NO_2009-06-05-lower,o090605
ParlaMint-NO_2008-10-24,s081024
ParlaMint-NO_2008-11-28-lower,o081128
ParlaMint-NO_2009-02-24,s090224
ParlaMint-NO_2009-04-22,s090422
ParlaMint-NO_2008-12-10,s081210
ParlaMint-NO_2011-02-15,s110215
ParlaMint-NO_2011-02-01,s110201
ParlaMint-NO_2011-03-11,s110311
ParlaMint-NO_2011-05-11,s110511
