,fornavn,etternavn,periode_liste
559,Stine,Høivik,{2021-2025}
560,Stine,Westrum,{2021-2025}
561,Ståle,Versland,{2021-2025}
562,Sunniva Andresdottir,Vik,{2021-2025}
563,Shakeel,Rehman,"{2021-2025,2017-2021,2013-2017}"
564,Svend Saxe,Frøshaug,{2021-2025}
566,Svein Oddvar,Leiros,"{2021-2025,2017-2021}"
569,Synne Høyforsslett,Bjørbæk,{2021-2025}
570,Tage Slind,Jensen,{2021-2025}
573,Tonje Anderson,Olsen,"{2021-2025,2017-2021}"
576,Terje,Hansen,{2021-2025}
577,Terje,Kollbotn,{2021-2025}
579,Terje Jonny,Sveen,{2021-2025}
580,Truls,Gihlemoen,"{2021-2025,2017-2021}"
582,Tina Shagufta Munir,Kornmo,"{2021-2025,2017-2021}"
584,Timo,Nikolaisen,{2021-2025}
585,Tom,Kalsås,"{2021-2025,2017-2021}"
588,Tobias Langås,Handeland,{2021-2025}
589,Tobias Hangaard,Linge,{2021-2025}
591,Tomas Iver,Hallem,{2021-2025}
592,Tom Einar,Karlsen,{2021-2025}
593,Tom Vegar,Kiil,{2021-2025}
594,Tone Lise,Avdal,{2021-2025}
595,Tonje,Brenna,"{2021-2025,2017-2021}"
596,Tone E. Berge,Hansen,{2021-2025}
597,Tonje,Nilsen,{2021-2025}
598,Tone,Våg,{2021-2025}
599,Tor Inge,Eidesen,{2021-2025}
600,Tor Malnes,Grobstok,{2021-2025}
601,Torgrim Hogstad,Hallem,{2021-2025}
602,Toralf,Heimdal,{2021-2025}
603,Torunn,Ostad,{2021-2025}
604,Torill Torsvik,Størkersen,{2021-2025}
605,Torleik,Svelle,{2021-2025}
606,Tore,Vamraak,{2021-2025}
607,Torill,Velle,{2021-2025}
608,Tove,Henøen,{2021-2025}
610,Tove,Tangen,{2021-2025}
611,Trine Lise,Stårvik,{2021-2025}
612,Trine,Fagervik,{2021-2025}
614,Trond,Ballestad,{2021-2025}
616,Trond Carell,Nyhus,{2021-2025}
617,Trude,Risnes,{2021-2025}
619,Trym,Braathen,{2021-2025}
623,Thorleif Fluer,Vikre,"{2021-2025,2013-2017,1997-2001}"
624,Trude Viola,Nordli,"{2021-2025,2017-2021,2009-2013}"
628,Unni Nilsen,Husøy,"{2021-2025,2017-2021}"
629,Unn-Hariet,Vekve,{2021-2025}
630,Vegard Rønning,Kjendsli,{2021-2025}
631,Vegard,Riseng,{2021-2025}
632,Veslemøy,Wåle,{2021-2025}
633,Victoria Figenschou,Mathiassen,{2021-2025}
634,Vidar,Langeland,{2021-2025}
635,Vetle Wang,Soleim,"{2021-2025,2017-2021,2013-2017}"
636,Willy,Kvilten,{2021-2025}
638,Yngve,Sætre,"{2021-2025,2017-2021}"
640,Øyvind,Grassdal,{2021-2025}
641,Øyvind Helland,Oddekalv,{2021-2025}
643,Alice,Aarebrodt,{2017-2021}
644,Aasa,Gjestvang,"{2017-2021,2013-2017}"
645,Aase,Simonsen,{2017-2021}
647,Anne Cecilie,Holm,{2017-2021}
648,Adrian Ness,Løvsjø,{2017-2021}
649,Alexander Fosse,Andersen,"{2017-2021,2013-2017,2005-2009}"
650,Anita,Gilde,{2017-2021}
651,Ann Iren,Amundsen,{2017-2021}
652,Amit,Ighani,{2017-2021}
653,Arild Johannes,Iversen,"{2017-2021,2009-2013}"
654,Anne Kristin,Bryne,{2017-2021}
655,Anders,Kiær,{2017-2021}
656,Anne Kristin,Lilleaasen,{2017-2021}
657,Allan,Ellingsen,"{2017-2021,2005-2009}"
658,Anne Marit,Mevassvik,"{2017-2021,2009-2013}"
659,Amund,Hellesø,{2017-2021}
660,Anette Kruhaug,Haldorsen,{2017-2021}
661,Anne Beth,Njærheim,"{2017-2021,2013-2017}"
662,Anna Konstanse Holan,Almli,{2017-2021}
663,Anne Karin,Olli,"{2017-2021,2009-2013}"
664,Ane Mari Braut,Nese,{2017-2021}
665,Anne Marte,Skari,{2017-2021}
666,Anne Berit,Odenmarck,"{2017-2021,2013-2017}"
667,Anders,Rambekk,{2017-2021}
668,Anders,Riise,{2017-2021}
670,Arne,Thomassen,"{2017-2021,2013-2017,2009-2013}"
671,Arve,Høiberg,{2017-2021}
672,Arve,Sigmundstad,{2017-2021}
673,Anne,Sandum,"{2017-2021,2013-2017,2009-2013}"
674,Asbjørn,Birkeland,{2017-2021}
675,Asle,Schrøder,{2017-2021}
676,Åse,Lund,{2017-2021}
677,Jon,Askeland,"{2017-2021,2013-2017}"
679,Astrid Margrethe,Hilde,{2017-2021}
680,Anne,Strømøy,{2017-2021}
681,Agnete,Tjærandsen,{2017-2021}
682,Atle,Kvåle,"{2017-2021,2013-2017}"
683,Atle,Simonsen,"{2017-2021,2013-2017,2009-2013}"
684,Audun,Mundal,{2017-2021}
685,Audun Kolsrud,Herning,{2017-2021}
686,Anders B.,Werp,"{2017-2021,2013-2017,2009-2013,2001-2005,1997-2001}"
687,Astrid Willa Eide,Hoem,"{2017-2021,2013-2017}"
688,Barbro Brønner,Eikset,{2017-2021}
689,Beate Bø,Nilsen,{2017-2021}
690,Beate Bondevik,Lie,{2017-2021}
691,Bente Stein,Mathisen,"{2017-2021,2013-2017,2009-2013}"
693,Arne,Bergsvåg,"{2017-2021,2009-2013,2005-2009}"
694,Bente Frederikke,Stensrød,"{2017-2021,2013-2017}"
695,Bjørn Arild,Gram,"{2017-2021,2013-2017,2005-2009,2001-2005}"
696,Bjørn Einar,Salvesen,{2017-2021}
697,Bjarte,Vatnøy,{2017-2021}
698,Bente Elin,Lilleøkseth,"{2017-2021,2013-2017,2001-2005}"
699,Bjørn,Larsen,"{2017-2021,2005-2009,2001-2005}"
700,Benedichte Limmesand,Hellestøl,{2017-2021}
701,Beate Marie Dahl,Eide,"{2017-2021,2005-2009}"
702,Boye,Bjerkholt,{2017-2021}
704,Andreas,Brandt,{2017-2021}
705,Bjarne,Rohde,"{2017-2021,2013-2017}"
706,Bersvend,Salbu,"{2017-2021,2013-2017}"
707,Bjørn-Kristian,Svendsrud,{2017-2021}
708,Britt Janne,Tennøy,{2017-2021}
709,Camilla,Saga,{2017-2021}
710,Camilla,Strandskog,"{2017-2021,2013-2017}"
711,Christopher Amundsen,Wand,"{2017-2021,2013-2017}"
713,Cecilie,Lindgren,{2017-2021}
